KODE_KEL_BRG;URAIAN_KEL_BRG;ID_ SSH;KODE_ BARANG;URAIAN_BARANG;SPESIFIKASI;SATUAN;HARGA_SATUAN
1.1.12.01.03.0001;Alat Tulis Kantor;7295247;1.1.12.01.03.0001.00304;amplop paperline putih dengan perekat 104pps;amplop paperline putih dengan perekat 104pps;Pack;17000
1.1.12.01.03.0001;Alat Tulis Kantor;7295248;1.1.12.01.03.0001.00305;Amplop 90 Polos Karina 20 S;Amplop 90 Polos Karina 20 S,;Buah;6000
1.1.12.01.03.0001;Alat Tulis Kantor;7295249;1.1.12.01.03.0001.00306;Amplop 104 Polos Karina 20 S;Amplop 104 Polos Karina 20 S,;Buah;4000
1.1.12.01.03.0001;Alat Tulis Kantor;7295250;1.1.12.01.03.0001.00307;Amplop 90 Pps (Polos);Amplop 90 Pps (Polos),;Buah;24600
1.1.12.01.03.0001;Alat Tulis Kantor;7295251;1.1.12.01.03.0001.00308;Amplop 104 Pps (Polos);Amplop 104 Pps (Polos),;Buah;15600
1.1.12.01.03.0001;Alat Tulis Kantor;7295252;1.1.12.01.03.0001.00309;Amplop Coklat Casing A (10x24cm) 1k:60p;Amplop Coklat Casing A (10x24cm) 1k:60p,;Pack;9000
1.1.12.01.03.0001;Alat Tulis Kantor;7295253;1.1.12.01.03.0001.00310;Amplop Coklat Casing B(12x28)Kab 1k:45pqualified Q;Amplop Coklat Casing B(12x28)Kab 1k:45pqualified Q,;Pack;11200
1.1.12.01.03.0001;Alat Tulis Kantor;7295254;1.1.12.01.03.0001.00311;Amplop Dinas;Amplop Dinas;Pack;90000
1.1.12.01.03.0001;Alat Tulis Kantor;7295256;1.1.12.01.03.0001.00312;Map Plastik dengan Acco;Map Plastik dengan Acco;Pack;37100
1.1.12.01.03.0001;Alat Tulis Kantor;7295257;1.1.12.01.03.0001.00313;Tinta Printer;Tinta Printer,;Botol;44600
1.1.12.01.03.0001;Alat Tulis Kantor;7295258;1.1.12.01.03.0001.00314;Tinta 932Xl;Tinta 932Xl;Buah;551200
1.1.12.01.03.0001;Alat Tulis Kantor;7295259;1.1.12.01.03.0001.00315;Tinta 933Xl;Tinta 933Xl;Buah;371000
1.1.12.01.03.0001;Alat Tulis Kantor;7295260;1.1.12.01.03.0001.00316;Tinta Mesin Fotocopy;Tinta Mesin Fotocopy;Botol;1236000
1.1.12.01.03.0001;Alat Tulis Kantor;7295268;1.1.12.01.03.0001.00317;Pita Printer Epson;Pita Printer Epson;Buah;445200
1.1.12.01.03.0001;Alat Tulis Kantor;7295269;1.1.12.01.03.0001.00318;Pita printer alat lab (Ribbobn 4mmx0,21m);Kartrid Hitam Premium (K), 3000 gambar per gulungan. Pita digunakan untuk mencetak dalam satu warna monokrom: hitam. Pita ini digunakan untuk mencetak teks dan gambar satu warna satu atau kedua sisi kartu;Roll;1991000
1.1.12.01.03.0001;Alat Tulis Kantor;7295270;1.1.12.01.03.0001.00319;Toner Printer;Toner Printer HP (refill);Tabung;168600
1.1.12.01.03.0001;Alat Tulis Kantor;7295271;1.1.12.01.03.0001.00320;Catridge Printer;Catridge Printer;Unit;356200
1.1.12.01.03.0001;Alat Tulis Kantor;7295272;1.1.12.01.03.0001.00321;Tinta Printer EPSON/Canon;Tinta Printer EPSON/Canon;Botol;116600
1.1.12.01.03.0001;Alat Tulis Kantor;7295273;1.1.12.01.03.0001.00322;Tinta Printer Serbuk;Tinta Printer Serbuk;Unit;212000
1.1.12.01.03.0001;Alat Tulis Kantor;7295274;1.1.12.01.03.0001.00323;TInta Printer Type L;Tinta Printer Epson Type Tipe L;Botol;95400
1.1.12.01.03.0001;Alat Tulis Kantor;7295275;1.1.12.01.03.0001.00324;Toner Mesin Fotocopy;Toner Mesin Fotocopy Canon IR 1024;Buah;898900
1.1.12.01.03.0001;Alat Tulis Kantor;7295276;1.1.12.01.03.0001.00325;Toner Printer HP;Toner Printer HP;Unit;202300
1.1.12.01.03.0001;Alat Tulis Kantor;7295277;1.1.12.01.03.0001.00326;Cartridge Epson L210;Cartridge Epson L210;Unit;222600
1.1.12.01.03.0001;Alat Tulis Kantor;7295278;1.1.12.01.03.0001.00327;Refill Toner Printer;Refill Toner Printer HP Laser Jet P1102;Unit;278300
1.1.12.01.03.0001;Alat Tulis Kantor;7295279;1.1.12.01.03.0001.00328;Tinta Printer;Tinta Printer;Botol;63600
1.1.12.01.03.0001;Alat Tulis Kantor;7295280;1.1.12.01.03.0001.00329;Tinta Printer;Tinta Printer;Botol;199650
1.1.12.01.03.0001;Alat Tulis Kantor;7295281;1.1.12.01.03.0001.00330;Toner Hp 12a Laser Jet;Toner Hp 12a Laser Jet,;Buah;1036700
1.1.12.01.03.0001;Alat Tulis Kantor;7295282;1.1.12.01.03.0001.00331;Tinta Printer Brother;Tinta Printer Brother;Botol;159000
1.1.12.01.03.0001;Alat Tulis Kantor;7295283;1.1.12.01.03.0001.00332;Tinta Catridge Epson T349;Tinta Catridge Epson T349;Buah;828000
1.1.12.01.03.0001;Alat Tulis Kantor;7295284;1.1.12.01.03.0001.00333;Tinta Paketan;Tinta Paketan;Paket;545000
1.1.12.01.03.0001;Alat Tulis Kantor;7295285;1.1.12.01.03.0001.00334;Cartridge Printer Dot Matrix Gaji;Cartridge Printer Dot Matrix Gaji Pita;Unit;415600
1.1.12.01.03.0001;Alat Tulis Kantor;7295286;1.1.12.01.03.0001.00335;Tinta Printer HP;Tinta Printer HP;Buah;106000
1.1.12.01.03.0001;Alat Tulis Kantor;7295287;1.1.12.01.03.0001.00336;Pembulatan;Pembulatan;Rupiah;1
1.1.12.01.03.0001;Alat Tulis Kantor;7295288;1.1.12.01.03.0001.00337;Tinta Printer Epson;Tinta Printer Epson;Botol;100000
1.1.12.01.03.0001;Alat Tulis Kantor;7295289;1.1.12.01.03.0001.00338;Tinta Printer HP;Tinta Printer HP;Botol;115000
1.1.12.01.03.0001;Alat Tulis Kantor;7295290;1.1.12.01.03.0001.00339;Reffil Toner Printer Brother;Isi Ulang Serbuk;Buah;125000
1.1.12.01.03.0001;Alat Tulis Kantor;7295291;1.1.12.01.03.0001.00340;Reffil Toner Printer Canon;Isi Ulang Serbuk;Buah;125000
1.1.12.01.03.0001;Alat Tulis Kantor;7295292;1.1.12.01.03.0001.00341;Reffil Toner Printer HP;Isi Ulang Serbuk;Buah;125000
1.1.12.01.03.0001;Alat Tulis Kantor;7295293;1.1.12.01.03.0001.00342;Reffil Toner Printer Kyocera;Isi Ulang Serbuk;Buah;650000
1.1.12.01.03.0001;Alat Tulis Kantor;7295294;1.1.12.01.03.0001.00343;USB Port;USB Port;Unit;412500
1.1.12.01.03.0001;Alat Tulis Kantor;7295295;1.1.12.01.03.0001.00344;Flashdisk 16 giga usb 3.0;Flashdisk 16 giga usb 3.0;Buah;112600
1.1.12.01.03.0001;Alat Tulis Kantor;7295296;1.1.12.01.03.0001.00345;Flashdisk 4 Gb;Flashdisk 4 Gb;Buah;90000
1.1.12.01.03.0001;Alat Tulis Kantor;7295297;1.1.12.01.03.0001.00346;Flashdisk 8 Gb;Flashdisk 8 Gb;Buah;148100
1.1.12.01.03.0001;Alat Tulis Kantor;7295298;1.1.12.01.03.0001.00347;Cable Pararel Usb;Cable Pararel Usb;Buah;60500
1.1.12.01.03.0001;Alat Tulis Kantor;7295299;1.1.12.01.03.0001.00348;Flashdisk 32 GB;Flashdisk 32 GB;Buah;185500
1.1.12.01.03.0001;Alat Tulis Kantor;7295300;1.1.12.01.03.0001.00349;USB3.0 HDMI /RCA Vidio Capture Streaming;USB3.0 HDMI /RCA Vidio Capture Streaming;Buah;4687500
1.1.12.01.03.0001;Alat Tulis Kantor;7295301;1.1.12.01.03.0001.00350;USB Soundcard X Sound Card Virtual 7.1 Chanel Adapter Mic;USB Soundcard X Sound Card Virtual 7.1 Chanel Adapter Mic;Buah;400000
1.1.12.01.03.0001;Alat Tulis Kantor;7295306;1.1.12.01.03.0001.00351;CD-RW Blank;CD-RW Blank;Buah;5300
1.1.12.01.03.0001;Alat Tulis Kantor;7295307;1.1.12.01.03.0001.00352;DVD-RW Blank;DVD-RW Blank;Buah;6400
1.1.12.01.03.0001;Alat Tulis Kantor;7554804;1.1.12.01.03.0001.00383;Belanja Cetak Kertas Ukuran A3 / 70 gram;Belanja Cetak Kertas Ukuran A3 / 70 gram;Lembar;4500
1.1.12.01.03.0001;Alat Tulis Kantor;7296212;1.1.12.01.03.0001.00353;Calculator Electronik 12 Digit;Calculator/Kalkulator Electronik 12 Digit;Buah;266100
1.1.12.01.03.0001;Alat Tulis Kantor;7296213;1.1.12.01.03.0001.00354;Calculator/Kalkulator Electronik 14 Digit;Calculator/Kalkulator Electronik 14 Digit;Buah;300000
1.1.12.01.03.0001;Alat Tulis Kantor;7296214;1.1.12.01.03.0001.00355;Calculator 16 Digit;Calculator 16 Digit , Setara casio;Unit;468600
1.1.12.01.03.0001;Alat Tulis Kantor;7554650;1.1.12.01.03.0001.00382;Mika Jilid transparan;Mika Jilid transparan;Pak;50600
1.1.12.01.03.0001;Alat Tulis Kantor;7554649;1.1.12.01.03.0001.00381;Laci Mini 4 susun;Laci Mini 4 susun;Buah;119300
1.1.12.01.03.0001;Alat Tulis Kantor;7296238;1.1.12.01.03.0001.00356;Papan Nama Ruangan;Papan Nama Ruangan;Buah;238500
1.1.12.01.03.0001;Alat Tulis Kantor;7553057;1.1.12.01.03.0001.00380;Re-transfer Film Kapasitas 1000 Kartu;Re-transfer Film Kapasitas 1000 Kartu;Buah;1854000
1.1.12.01.03.0001;Alat Tulis Kantor;7553055;1.1.12.01.03.0001.00379;Re-transfer Film Kapasitas 500 Kartu;Re-transfer Film Kapasitas 500 Kartu;Buah;1236000
1.1.12.01.03.0001;Alat Tulis Kantor;7553051;1.1.12.01.03.0001.00378;Sublimasi Kapasitas 1000 Kartu;Sublimasi Kapasitas 1000 Kartu;Buah;7865200
1.1.12.01.03.0001;Alat Tulis Kantor;7553049;1.1.12.01.03.0001.00377;Sublimasi Kapasitas 500 Kartu;Sublimasi Kapasitas 500 Kartu;Buah;3988800
1.1.12.01.03.0001;Alat Tulis Kantor;7296247;1.1.12.01.03.0001.00357;Cetak stempel trodat;Cetak stempel trodat;Unit;344500
1.1.12.01.03.0001;Alat Tulis Kantor;7296248;1.1.12.01.03.0001.00358;Stempel;Stempel,;Buah;190800
1.1.12.01.03.0001;Alat Tulis Kantor;7296249;1.1.12.01.03.0001.00359;Bantalan/Bak Stempel;Bantalan Stempel, Bak Stempel;Buah;44600
1.1.12.01.03.0001;Alat Tulis Kantor;7296250;1.1.12.01.03.0001.00360;Date Stamp;Date Stamp, Lunas;Buah;9700
1.1.12.01.03.0001;Alat Tulis Kantor;7296251;1.1.12.01.03.0001.00361;Date Stamp Paid / Lunas;Date Stamp, Paid / Lunas;Buah;11700
1.1.12.01.03.0001;Alat Tulis Kantor;7296252;1.1.12.01.03.0001.00362;Stempel Tanpa Bantalan;Stempel Tanpa Bantalan;Buah;251300
1.1.12.01.03.0001;Alat Tulis Kantor;7296253;1.1.12.01.03.0001.00363;Trodat 44055 Printy;Trodat 44055 Printy,;Buah;181400
1.1.12.01.03.0001;Alat Tulis Kantor;7296254;1.1.12.01.03.0001.00364;Stamp Pad Besar;Stamp Pad, Besar;Buah;8500
1.1.12.01.03.0001;Alat Tulis Kantor;7296255;1.1.12.01.03.0001.00365;Bak Stempel Hero Besar;Bak Stempel Hero Besar,;Buah;8100
1.1.12.01.03.0001;Alat Tulis Kantor;7296256;1.1.12.01.03.0001.00366;Bak Stempel No 1 Violet / Debozz;Bak Stempel No 1 Violet / Debozz,;Buah;10100
1.1.12.01.03.0001;Alat Tulis Kantor;7296264;1.1.12.01.03.0001.00367;Papan Pengumuman;Papan Pengumuman;Unit;337100
1.1.12.01.03.0001;Alat Tulis Kantor;7553012;1.1.12.01.03.0001.00376;Map Gantung;Map Gantung;Buah;60000
1.1.12.01.03.0001;Alat Tulis Kantor;7495017;1.1.12.01.03.0001.00375;Rompi Pengukuran Kebugaran;Rompi Pengukuran Kebugaran;Set;35000
1.1.12.01.03.0001;Alat Tulis Kantor;7479247;1.1.12.01.03.0001.00374;Tempat pensil;Tempat pensil;Buah;150000
1.1.12.01.03.0001;Alat Tulis Kantor;7479093;1.1.12.01.03.0001.00373;Nomer Dada Lari;Nomer Dada Lari;Set;70000
1.1.12.01.03.0001;Alat Tulis Kantor;7478798;1.1.12.01.03.0001.00372;Kertas Label Stiker;Kertas Label Stiker;Pack;8050
1.1.12.01.03.0001;Alat Tulis Kantor;7477887;1.1.12.01.03.0001.00371;Catridge Printer HP;Catridge Printer HP;Unit;480700
1.1.12.01.03.0001;Alat Tulis Kantor;7475822;1.1.12.01.03.0001.00370;Binder book;Binder book;Pcs;350000
1.1.12.01.03.0001;Alat Tulis Kantor;7307925;1.1.12.01.03.0001.00369;Pita Printer Id Card-Warna;Pita Printer Id Card-Warna;Buah;716500
1.1.12.01.03.0001;Alat Tulis Kantor;7307924;1.1.12.01.03.0001.00368;Pita Printer Id Card-Hitam;Pita Printer Id Card-Hitam;Buah;605500
1.1.12.01.03.0002;Kertas dan Cover;7494195;1.1.12.01.03.0002.00010;Kertas Art Papaer 110-120 gsm (500 lbr);Kertas Art Papaer 110-120 gsm (500 lbr);Pack;642000
1.1.12.01.03.0002;Kertas dan Cover;7478800;1.1.12.01.03.0002.00009;Kertas Stiker;Kertas stiker;Buah;32300
1.1.12.01.03.0002;Kertas dan Cover;7559521;1.1.12.01.03.0002.00023;Kertas Fax;Ukuran 210 mm x 30 mm;Roll;38850
1.1.12.01.03.0002;Kertas dan Cover;7295230;1.1.12.01.03.0002.00001;Kertas Buffalo;Kertas Buffalo isi 100 Lembar;Pak;45000
1.1.12.01.03.0002;Kertas dan Cover;7295231;1.1.12.01.03.0002.00002;Buffalo A3;Buffalo A3;Pak;112400
1.1.12.01.03.0002;Kertas dan Cover;7295232;1.1.12.01.03.0002.00003;Jilid Langsung, Hard Cover, Laminasi;Jilid Langsung Hard Cover Laminasi (timbul/3D);Buku;73100
1.1.12.01.03.0002;Kertas dan Cover;7295233;1.1.12.01.03.0002.00004;Jilid Spiral Kawat;Jilid Spiral Kawat A4/F4 < 50 hal;Buku;9900
1.1.12.01.03.0002;Kertas dan Cover;7295234;1.1.12.01.03.0002.00005;Jilid Hard Cover;Jilid Hard Cover A5;Buku;29300
1.1.12.01.03.0002;Kertas dan Cover;7295235;1.1.12.01.03.0002.00006;Jilid Mika + plakban;Jilid Mika + plakban;Buku;48400
1.1.12.01.03.0002;Kertas dan Cover;7295236;1.1.12.01.03.0002.00007;Jilid Biasa;(plakband) + cover;Buku;19900
1.1.12.01.03.0002;Kertas dan Cover;7295237;1.1.12.01.03.0002.00008;Mika Jilid Transparan;Mika Jilid Transparan;Pak;50600
1.1.12.01.03.0002;Kertas dan Cover;7554734;1.1.12.01.03.0002.00022;Kertas Art Paper 110-120 gsm (500 lbr);Kertas Art Paper 110-120 gsm (500 lbr);Pack;642000
1.1.12.01.03.0002;Kertas dan Cover;7554652;1.1.12.01.03.0002.00021;Data Print Double Glossy Photo/Pak;Data Print Double Glossy Photo/Pak;Buah;57300
1.1.12.01.03.0002;Kertas dan Cover;7554651;1.1.12.01.03.0002.00020;Coral Glossy Sticker Paper 120 Gsm;Coral Glossy Sticker Paper 120 Gsm;Buah;37100
1.1.12.01.03.0002;Kertas dan Cover;7494228;1.1.12.01.03.0002.00019;Pisau Cutting Blade 1.5 mm, 30 Degree;Pisau Cutting Blade 1.5 mm, 30 Degree;Pack;6000000
1.1.12.01.03.0002;Kertas dan Cover;7494225;1.1.12.01.03.0002.00018;Plastik Laminasi Doff;Plastik Laminasi Doff;Roll;263700
1.1.12.01.03.0002;Kertas dan Cover;7494222;1.1.12.01.03.0002.00017;Plastik Laminasi Glossy;Plastik Laminasi Glossy;Roll;240500
1.1.12.01.03.0002;Kertas dan Cover;7494221;1.1.12.01.03.0002.00016;Kertas Stiker Vinyl Glossy/ Doff/ Transparan (500 lbr);Kertas Stiker Vinyl Glossy/ Doff/ Transparan (500 lbr);Pack;4740000
1.1.12.01.03.0002;Kertas dan Cover;7494204;1.1.12.01.03.0002.00015;Kertas Stiker Bontak Chromo HVS/ Glossy (500 lbr);Kertas Stiker Bontak Chromo HVS/ Glossy (500 lbr);Pack;1815000
1.1.12.01.03.0002;Kertas dan Cover;7494202;1.1.12.01.03.0002.00014;Kertas Art Paper 300-310 gsm (500 lbr);Kertas Art Paper 300-310 gsm (500 lbr);Pack;1731000
1.1.12.01.03.0002;Kertas dan Cover;7494200;1.1.12.01.03.0002.00013;Kertas Art Paper 240-260 gsm (500 lbr);Kertas Art Paper 240-260 gsm (500 lbr);Pack;1440000
1.1.12.01.03.0002;Kertas dan Cover;7494198;1.1.12.01.03.0002.00012;Kertas Art Paper 210-230 gsm (500 lbr);Kertas Art Paper 210-230 gsm (500 lbr);Pack;1125000
1.1.12.01.03.0002;Kertas dan Cover;7494196;1.1.12.01.03.0002.00011;Kertas Art Paper 130-150 gsm (500 lbr);Kertas Art Paper 130-150 gsm (500 lbr);Pack;834000
1.1.12.01.03.0003;Bahan Cetak;7295062;1.1.12.01.03.0003.00034;Poster A3;Poster A3;Lembar;17900
1.1.12.01.03.0003;Bahan Cetak;7295265;1.1.12.01.03.0003.00123;Neon Box Uk 1 x 2 M - 2 Sisi;Neon Box Uk 1 x 2 M - 2 Sisi;Titik;2250000
1.1.12.01.03.0003;Bahan Cetak;7295264;1.1.12.01.03.0003.00122;Jilid Langsung Soft Cover Laminasi;Jilid Langsung Soft Cover Laminasi;Buku;50600
1.1.12.01.03.0003;Bahan Cetak;7295263;1.1.12.01.03.0003.00121;Fotocopy Warna;Fotocopy Warna;Lembar;5300
1.1.12.01.03.0003;Bahan Cetak;7295262;1.1.12.01.03.0003.00120;Jilid Hard Cover;Jilid Hard Cover;Buku;36100
1.1.12.01.03.0003;Bahan Cetak;7295261;1.1.12.01.03.0003.00119;Jilid Biasa;plakband cover;Buku;20400
1.1.12.01.03.0003;Bahan Cetak;7295255;1.1.12.01.03.0003.00118;Kop Surat;Kop Surat KDH/WKDHJ;Rim;460000
1.1.12.01.03.0003;Bahan Cetak;7295145;1.1.12.01.03.0003.00117;Kertas NCR 3 Ply;"Kertas 3 warna (merah.,kuning,putih);, ada potongan /PRS, Isi : 500 sheet";Box;232000
1.1.12.01.03.0003;Bahan Cetak;7295144;1.1.12.01.03.0003.00116;Cetak Lembar Disposisi;Lembar disposisi Folio 70 gram;Rim;125000
1.1.12.01.03.0003;Bahan Cetak;7295143;1.1.12.01.03.0003.00115;Cetak Daftar Arsip Statis;Cetak Daftar Arsip Statis;Buku;135000
1.1.12.01.03.0003;Bahan Cetak;7295142;1.1.12.01.03.0003.00114;Cetak Inventaris Arsip;Cetak Inventaris Arsip;Buku;135000
1.1.12.01.03.0003;Bahan Cetak;7295141;1.1.12.01.03.0003.00113;Cetak Guide Arsip;Cetak Guide Arsip;Buku;135000
1.1.12.01.03.0003;Bahan Cetak;7295140;1.1.12.01.03.0003.00112;Belanja Cetak;Belanja Cetak Peta Batas Daerah (Ukuran AO 84x118,8 cm, 230 gram);Buah;250000
1.1.12.01.03.0003;Bahan Cetak;7295139;1.1.12.01.03.0003.00111;Barang Cetakan;Kartu Ucapan KDH/WKDH VIP;Buah;65000
1.1.12.01.03.0003;Bahan Cetak;7295138;1.1.12.01.03.0003.00110;Barang Cetakan;Cetak Undangan VIP;Lembar;45000
1.1.12.01.03.0003;Bahan Cetak;7295137;1.1.12.01.03.0003.00109;Barang Cetakan;Cetak Amplop VIP KDH/WKDH;Buah;3000
1.1.12.01.03.0003;Bahan Cetak;7295136;1.1.12.01.03.0003.00108;Barang Cetakan;Cetak Amplop KDH/WKDH;Buah;2500
1.1.12.01.03.0003;Bahan Cetak;7295135;1.1.12.01.03.0003.00107;Kartu Ucapan DPRD;"Bahan: Art Paper; Ukuran: 17.5 x 17.5 cm; Cetak: 2 sisi full colour";Eksemplar;15000
1.1.12.01.03.0003;Bahan Cetak;7295134;1.1.12.01.03.0003.00106;Cetak Lebelling Acrylic;Menggunakan Bahan Acrylic;Buah;500000
1.1.12.01.03.0003;Bahan Cetak;7295133;1.1.12.01.03.0003.00105;Buku Cek/Tera;Buku Cek/Tera;Buku;75000
1.1.12.01.03.0003;Bahan Cetak;7295132;1.1.12.01.03.0003.00104;Cetak Karcis RKL;Cetak Karcis RKL ( Retribusi Kebersihan Lingkungan ) dalam bendel, 1 bendel 100Lembar;Buku;5700
1.1.12.01.03.0003;Bahan Cetak;7295131;1.1.12.01.03.0003.00103;Cutting Stiker R4;Cutting Stiker R4;Unit;5000000
1.1.12.01.03.0003;Bahan Cetak;7295130;1.1.12.01.03.0003.00102;Cutting Stiker R2;Cutting Stiker R2;Unit;1000000
1.1.12.01.03.0003;Bahan Cetak;7295129;1.1.12.01.03.0003.00101;Register Posyandu;Register Posyandu;Buku;56200
1.1.12.01.03.0003;Bahan Cetak;7295128;1.1.12.01.03.0003.00100;Cetak Form Ante Mortem/ Post Mortem;Cetak SSRD NCR2;Bendel;31000
1.1.12.01.03.0003;Bahan Cetak;7295127;1.1.12.01.03.0003.00099;Cetak Kartu Hewan Qurban;Cetak Kartu Hewan Qurban Ukuran (8,5 cm X 5,5 cm) full colour;Biji;8500
1.1.12.01.03.0003;Bahan Cetak;7295126;1.1.12.01.03.0003.00098;Buku rapor kesehatan tingkat smp/mts;Buku rapor kesehatan tingkat smp/mts;Buku;14375
1.1.12.01.03.0003;Bahan Cetak;7295125;1.1.12.01.03.0003.00097;Buku rapor kesehatan tingkat sd/mi;Buku rapor kesehatan tingkat sd/mi;Buku;14375
1.1.12.01.03.0003;Bahan Cetak;7295124;1.1.12.01.03.0003.00096;Lembar Balik;Lembar Balik;Buah;238500
1.1.12.01.03.0003;Bahan Cetak;7295123;1.1.12.01.03.0003.00095;Cetak Poster Balok SKDN A1;Ukuran 70 x 50 cm, bahan art carton 230 gram;Lembar;50000
1.1.12.01.03.0003;Bahan Cetak;7295122;1.1.12.01.03.0003.00094;Smart Card dan Sertifikat;Smart Card dan Sertifikat;Unit;25000
1.1.12.01.03.0003;Bahan Cetak;7295121;1.1.12.01.03.0003.00093;Stiker Vinyl Print dan Cut;Stiker Vinyl Print dan Cut;M2;120000
1.1.12.01.03.0003;Bahan Cetak;7295120;1.1.12.01.03.0003.00092;Belanja cetak buku administrasi (PKK Kota);Belanja cetak buku administrasi (PKK Kota);Eksemplar;50000
1.1.12.01.03.0003;Bahan Cetak;7295119;1.1.12.01.03.0003.00091;Cetak Pamflet/ Leaflet A4 2 Sisi;Cetak Pamflet/ Leaflet A4 2 Sisi;Lembar;2000
1.1.12.01.03.0003;Bahan Cetak;7295118;1.1.12.01.03.0003.00090;Foto Digital Kepegawaian;Foto Digital Kepegawaian;Orang;30000
1.1.12.01.03.0003;Bahan Cetak;7295117;1.1.12.01.03.0003.00089;Cetak Tiket Full Color;Cetak Tiket Full Color;Bendel;7950
1.1.12.01.03.0003;Bahan Cetak;7295116;1.1.12.01.03.0003.00088;Cetak Laporan/Buku/Materi/Modul;Cetak Laporan/Buku/Materi/Modul;Materi;56200
1.1.12.01.03.0003;Bahan Cetak;7295115;1.1.12.01.03.0003.00087;Cetak Undangan Keg. Rapat Paripurna Istimewa DPRD;Cetak Undangan Keg. Rapat Paripurna Istimewa DPRD;Buah;11300
1.1.12.01.03.0003;Bahan Cetak;7295114;1.1.12.01.03.0003.00086;Cetak Buku Perwali Penjabaran APBD/P-APBD;Cetak Buku Perwali Penjabaran APBD/P-APBD;Buku;650000
1.1.12.01.03.0003;Bahan Cetak;7295113;1.1.12.01.03.0003.00085;Cetak Buku Perda APBD/P-APBD;Cetak Buku Perda APBD/P-APBD;Buku;450000
1.1.12.01.03.0003;Bahan Cetak;7295112;1.1.12.01.03.0003.00084;Cetak Buku Raperwali Penjabaran APBD/P-APBD;Cetak Buku Raperwali Penjabaran APBD/P-APBD;Buku;650000
1.1.12.01.03.0003;Bahan Cetak;7295111;1.1.12.01.03.0003.00083;Cetak Buku Raperda APBD/P-APBD;Cetak Buku Raperda APBD/P-APBD;Buku;450000
1.1.12.01.03.0003;Bahan Cetak;7295110;1.1.12.01.03.0003.00082;Cetak Buku Draft Raperda APBD/P-APBD;Cetak Buku Draft Raperda APBD/P-APBD;Buku;450000
1.1.12.01.03.0003;Bahan Cetak;7295109;1.1.12.01.03.0003.00081;Cetak Buku KUA PPAS APBD/P-APBD;Cetak Buku KUA PPAS APBD/P-APBD;Buku;450000
1.1.12.01.03.0003;Bahan Cetak;7295108;1.1.12.01.03.0003.00080;Cetak Buku Draft KUA PPAS APBD/P-APBD;Cetak Buku Draft KUA PPAS APBD/P-APBD;Buku;450000
1.1.12.01.03.0003;Bahan Cetak;7295107;1.1.12.01.03.0003.00079;Cetak Karcis Dokar Wisata;Cetak Karcis Dokar Wisata;Buku;5300
1.1.12.01.03.0003;Bahan Cetak;7295106;1.1.12.01.03.0003.00078;Cetak Buku Dasawisma;Cetak Buku Dasawisma;Buah;26000
1.1.12.01.03.0003;Bahan Cetak;7295105;1.1.12.01.03.0003.00077;Cetak Buku Register Pelayanan Kelurahan (Hardcover);Cetak Buku Register Pelayanan Kelurahan (Hardcover);Buah;70000
1.1.12.01.03.0003;Bahan Cetak;7560540;1.1.12.01.03.0003.00144;Cetak sticker Bahan Vynil Glossy;Cetak sticker Bahan Vynil Glossy;M2;85000
1.1.12.01.03.0003;Bahan Cetak;7295104;1.1.12.01.03.0003.00076;Cetak Pamflet - Ukuran 32x49 cm , kertas Kingstrik;Cetak Pamflet - Ukuran 32x49 cm kertas Kingstrik;Lembar;8100
1.1.12.01.03.0003;Bahan Cetak;7295103;1.1.12.01.03.0003.00075;Baliho Digital Printing;Baliho Digital Printing;Meter;50900
1.1.12.01.03.0003;Bahan Cetak;7295102;1.1.12.01.03.0003.00074;Cetak Buku Agenda Kerja DPRD;Cetak Buku Agenda Kerja DPRD;Buah;224800
1.1.12.01.03.0003;Bahan Cetak;7295101;1.1.12.01.03.0003.00073;Kartu Tanda Langganan Restribusi;Kartu Tanda Langganan Restribusi;Buku;4600
1.1.12.01.03.0003;Bahan Cetak;7295100;1.1.12.01.03.0003.00072;Karcis Parkir Area Pasar;Karcis Parkir Area Pasar;Buku;6500
1.1.12.01.03.0003;Bahan Cetak;7295099;1.1.12.01.03.0003.00071;Karcis Pasar Harian;Karcis Pasar Harian;Buku;6750
1.1.12.01.03.0003;Bahan Cetak;7295098;1.1.12.01.03.0003.00070;Kartu Ucapan KDH/WKDH, bahan amplop art paper 150 gr, finishing matte, hotprint emas garuda, ukuran 17,5 x 17,5 cm, bahan kartu art paper 260 gr, fullcolour 2 sisi, laminasi doft 2 sisi ukuran 17,5 x 17,5 cm;Kartu Ucapan KDH/WKDH, bahan amplop art paper 150 gr, finishing matte, hotprint emas garuda, ukuran 17,5 x 17,5 cm, bahan kartu art paper 260 gr, fullcolour 2 sisi, laminasi doft 2 sisi ukuran 17,5 x 17,5 cm;Buah;14500
1.1.12.01.03.0003;Bahan Cetak;7295097;1.1.12.01.03.0003.00069;Cetak Ssrd Ncr;Cetak Ssrd Ncr;Buah;60500
1.1.12.01.03.0003;Bahan Cetak;7295096;1.1.12.01.03.0003.00068;Cetak Sertifikat;Cetak Sertifikat;Buah;11000
1.1.12.01.03.0003;Bahan Cetak;7295095;1.1.12.01.03.0003.00067;Cetak kanvas beserta frame;cetak kanvas beserta frame;Buah;593600
1.1.12.01.03.0003;Bahan Cetak;7295094;1.1.12.01.03.0003.00066;Lembar Disposisi;Lembar Disposisi;Rim;169600
